# Países;Fecha;Super 95;Super 95 (Sin imp.);Diesel;Diesel (Sin imp.);Diesel Cal.;Diesel Cal. (Sin imp.)
España;30/06/2008;1,261€;0,679€;1,305€;0,814€;0,978€;0,756€
España;23/06/2008;1,256€;0,675€;1,299€;0,809€;0,979€;0,758€
España;16/06/2008;1,252€;0,672€;1,297€;0,807€;0,983€;0,761€
España;09/06/2008;1,237€;0,659€;1,289€;0,800€;0,965€;0,746€
España;02/06/2008;1,234€;0,656€;1,300€;0,810€;0,966€;0,746€
España;26/05/2008;1,228€;0,652€;1,309€;0,817€;0,959€;0,740€
España;19/05/2008;1,205€;0,631€;1,270€;0,783€;0,932€;0,717€
España;12/05/2008;1,186€;0,615€;1,219€;0,739€;0,902€;0,692€
España;05/05/2008;1,174€;0,605€;1,199€;0,722€;0,857€;0,652€
España;28/04/2008;1,166€;0,598€;1,191€;0,715€;0,848€;0,644€
España;21/04/2008;1,144€;0,579€;1,169€;0,697€;0,830€;0,629€
España;14/04/2008;1,131€;0,567€;1,150€;0,680€;0,811€;0,613€
España;07/04/2008;1,124€;0,561€;1,127€;0,660€;0,795€;0,599€
España;31/03/2008;1,126€;0,563€;1,128€;0,661€;0,799€;0,602€
España;17/03/2008;1,130€;0,567€;1,150€;0,680€;0,810€;0,612€
España;10/03/2008;1,121€;0,559€;1,136€;0,668€;0,798€;0,601€
España;03/03/2008;1,127€;0,564€;1,108€;0,643€;0,785€;0,589€
España;25/02/2008;1,129€;0,565€;1,104€;0,640€;0,773€;0,579€
España;18/02/2008;1,113€;0,552€;1,083€;0,622€;0,753€;0,562€
España;11/02/2008;1,099€;0,540€;1,063€;0,605€;0,728€;0,541€
España;04/02/2008;1,093€;0,535€;1,051€;0,595€;0,727€;0,540€
España;28/01/2008;1,095€;0,536€;1,050€;0,593€;0,725€;0,538€
España;21/01/2008;1,098€;0,539€;1,052€;0,596€;0,734€;0,546€
España;14/01/2008;1,113€;0,552€;1,068€;0,610€;0,745€;0,556€
España;07/01/2008;1,115€;0,553€;1,083€;0,622€;0,751€;0,561€
España;21/12/2009;1,053€;0,471€;0,956€;0,484€;0,595€;0,427€
España;14/12/2009;1,061€;0,478€;0,958€;0,485€;0,596€;0,428€
España;07/12/2009;1,070€;0,486€;0,965€;0,492€;0,594€;0,426€
España;30/11/2009;1,066€;0,482€;0,962€;0,489€;0,595€;0,427€
España;23/11/2009;1,073€;0,488€;0,969€;0,495€;0,600€;0,432€
España;16/11/2009;1,071€;0,487€;0,967€;0,493€;0,600€;0,431€
España;09/11/2009;1,079€;0,494€;0,976€;0,501€;0,604€;0,435€
España;02/11/2009;1,081€;0,495€;0,978€;0,502€;0,599€;0,431€
España;26/10/2009;1,069€;0,485€;0,970€;0,496€;0,592€;0,425€
España;19/10/2009;1,055€;0,473€;0,958€;0,485€;0,578€;0,413€
España;12/10/2009;1,038€;0,458€;0,935€;0,466€;0,556€;0,394€
España;05/10/2009;1,028€;0,450€;0,925€;0,457€;0,560€;0,397€
España;28/09/2009;1,032€;0,454€;0,928€;0,459€;0,565€;0,401€
España;21/09/2009;1,052€;0,471€;0,936€;0,467€;0,569€;0,405€
España;14/09/2009;1,055€;0,473€;0,938€;0,468€;0,576€;0,411€
España;07/09/2009;1,066€;0,483€;0,949€;0,478€;0,585€;0,419€
España;31/08/2009;1,077€;0,492€;0,963€;0,489€;0,593€;0,426€
España;24/08/2009;1,092€;0,505€;0,969€;0,495€;0,594€;0,427€
España;17/08/2009;1,099€;0,511€;0,970€;0,496€;0,596€;0,428€
España;10/08/2009;1,099€;0,511€;0,970€;0,496€;0,580€;0,415€
España;03/08/2009;1,073€;0,488€;0,945€;0,475€;0,572€;0,408€
España;27/07/2009;1,047€;0,466€;0,930€;0,461€;0,553€;0,392€
España;20/07/2009;1,035€;0,456€;0,906€;0,440€;0,550€;0,388€
España;13/07/2009;1,049€;0,468€;0,920€;0,453€;0,559€;0,396€
España;06/07/2009;1,067€;0,483€;0,944€;0,474€;0,579€;0,414€
España;29/06/2009;1,084€;0,498€;0,954€;0,482€;0,584€;0,418€
España;22/06/2009;1,101€;0,513€;0,961€;0,488€;0,586€;0,420€
España;15/06/2009;1,075€;0,491€;0,952€;0,480€;0,570€;0,406€
España;08/06/2009;1,025€;0,476€;0,904€;0,468€;0,544€;0,383€
